"","trialNo","target","condition1.x","mean_fast","mean_slow","sd_fast","sd_slow","N_fast","N_slow","se_fast","se_slow","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality","FminusS"
"31",31,"<b>In the restaurant,</b><br> <br> you set fire to the pizza station.","immoral",0.595238095238095,0.42,0.493793957788201,0.49856938190329,84,50,0.0538773378399109,0.0705083581671604,"immoral",4.88888888888889,4.95454545454545,0.320256307610174,0.21320071635561,27,22,0.0616333551361366,0.0454545454545455,0.175238095238095
"32",32,"<b>In the restaurant,</b><br> <br> you kill a dining hall employee.","immoral",0.682926829268293,0.48936170212766,0.468199830200417,0.505291152639911,82,47,0.051704021757016,0.073704289683782,"immoral",4.875,5,0.612372435695794,0,24,22,0.125,0,0.193565127140633
"33",33,"<b>In the library,</b><br> <br> you ask the librarian for advice.","ordinary",0.0561797752808989,0,0.231573204692959,0,89,20,0.0245467106040815,0,"ordinary",1.03703703703704,1.04545454545455,0.192450089729875,0.21320071635561,27,22,0.037037037037037,0.0454545454545455,0.0561797752808989
"34",34,"<b>In the library,</b><br> <br> you read one book's inside cover.","ordinary",0.0795454545454545,0.0333333333333333,0.272138863686403,0.181020334719393,88,60,0.0290101003430715,0.0233696247231033,"ordinary",1.33333333333333,1.27272727272727,0.784464540552736,0.88273482950475,27,22,0.150970271219279,0.18819969800246,0.0462121212121212
"35",35,"<b>In the library,</b><br> <br> you check out three different books.","ordinary",0.0989010989010989,0,0.300183094310606,0,91,33,0.0314677386006074,0,"ordinary",1.39285714285714,1.18181818181818,0.994029797388005,0.852802865422442,28,22,0.187853974262613,0.181818181818182,0.0989010989010989
"36",36,"<b>In the library,</b><br> <br> you drink from the water fountain.","ordinary",0.116279069767442,0.04,0.322439402466035,0.2,86,25,0.0347695349579722,0.04,"ordinary",1.28571428571429,1.22727272727273,0.809990528391941,0.869143978527871,28,22,0.153073821603063,0.185302118838307,0.0762790697674419
"37",37,"<b>In the library,</b><br> <br> you read every book in the building.","impossible",0.475,0.755555555555556,0.502525268588178,0.434613493680177,80,45,0.0561840330487253,0.06478835438717,"impossible",2.38888888888889,1.57894736842105,1.14475216371923,1.01739260823845,18,19,0.269820672581281,0.23340587185351,-0.280555555555556
"38",38,"<b>In the library,</b><br> <br> you make all the books disappear.","impossible",0.8,0.914285714285714,0.402373908081478,0.284028640998691,85,35,0.0436435780471985,0.0480096028809603,"impossible",4.55555555555556,4.83333333333333,1.0137937550497,0.389249472080761,9,12,0.337931251683234,0.112366643743874,-0.114285714285714
"39",39,"<b>In the library,</b><br> <br> you melt your least favorite book.","impossible",0.746835443037975,0.823529411764706,0.437602864987919,0.385013368751849,79,51,0.0492341688808472,0.0539126552347746,"impossible",4.82608695652174,4.85,0.650326764931116,0.489360484929593,23,20,0.135602504335245,0.109424330980483,-0.0766939687267312
"40",40,"<b>In the library,</b><br> <br> you exit, having aged seventeen years.","impossible",0.78125,0.972602739726027,0.416666666666667,0.164367705983163,64,73,0.0520833333333333,0.0192377848702657,"impossible",4.57142857142857,3.66666666666667,0.786795792469443,1.4142135623731,7,9,0.29738085706659,0.471404520791032,-0.191352739726027
"41",41,"<b>In the library,</b><br> <br> you scream at the top of your lungs.","abnormal",0.292134831460674,0.193548387096774,0.457320436470853,0.401609664451249,89,31,0.0484758693142688,0.0721312250806384,"abnormal",4.81481481481481,4.5,0.681459803941116,0.672592709134549,27,22,0.131147000415771,0.143397247403047,0.0985864443639
"42",42,"<b>In the library,</b><br> <br> you place cookbooks in the kid's section.","abnormal",0.310810810810811,0.144927536231884,0.465984762984349,0.35460675480613,74,69,0.0541696283875289,0.0426896366873121,"abnormal",4.26923076923077,3.86363636363636,0.87442288660315,1.12527053024318,26,22,0.171488436996984,0.239908483141703,0.165883274578927
"43",43,"<b>In the library,</b><br> <br> you set up an elaborate cooking spread.","abnormal",0.605633802816901,0.782608695652174,0.492192565086837,0.415492805111887,71,69,0.0584125108544443,0.0500194557943937,"abnormal",4.82608695652174,3.89473684210526,0.650326764931116,1.24252148839479,23,19,0.135602504335245,0.285053979110034,-0.176974892835273
"44",44,"<b>In the library,</b><br> <br> you play music on a portable speaker.","abnormal",0.25,0.262295081967213,0.435744670330595,0.443532762572744,80,61,0.0487177351846223,0.056788551067832,"abnormal",4.74074074074074,4.28571428571429,0.712125345092075,1.10194633003868,27,21,0.137048586561888,0.240464403294335,-0.0122950819672131
"45",45,"<b>In the library,</b><br> <br> you leave a book to soak in a toilet.","immoral",0.424657534246575,0.328125,0.497711658470212,0.473242362150023,73,64,0.0582527434802423,0.0591552952687528,"immoral",4.77777777777778,4.81818181818182,0.800640769025436,0.394771016975861,27,22,0.154083387840341,0.0841654636156865,0.0965325342465753
"46",46,"<b>In the library,</b><br> <br> you hide a dead body in the bathroom.","immoral",0.7875,0.5,0.411657655481415,0.505525029603437,80,46,0.0460247250557317,0.074535599249993,"immoral",4.88888888888889,5,0.423659272868162,0,27,21,0.0815332650783714,0,0.2875
"47",47,"<b>In the library,</b><br> <br> you push someone down the stairs.","immoral",0.458823529411765,0.255813953488372,0.501258919323817,0.441481448448827,85,43,0.0543691634273002,0.0673252897168136,"immoral",4.81481481481481,5,0.681459803941116,0,27,22,0.131147000415771,0,0.203009575923393
