"condition1","trialNo","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality"
"ordinary",4,1.23076923076923,1.31818181818182,0.514407799916938,0.56790036318955,26,22,0.100883669604646,0.121076764250623
"ordinary",17,1.28571428571429,1,0.854493259282208,0,28,22,0.161484047217268,0
"ordinary",18,1.11111111111111,1.27272727272727,0.423659272868162,0.88273482950475,27,22,0.0815332650783714,0.18819969800246
"ordinary",19,1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"ordinary",20,1.11111111111111,1.09090909090909,0.320256307610174,0.29424494316825,27,22,0.0616333551361366,0.0627332326674867
"ordinary",33,1.03703703703704,1.04545454545455,0.192450089729875,0.21320071635561,27,22,0.037037037037037,0.0454545454545455
"ordinary",34,1.33333333333333,1.27272727272727,0.784464540552736,0.88273482950475,27,22,0.150970271219279,0.18819969800246
"ordinary",35,1.39285714285714,1.18181818181818,0.994029797388005,0.852802865422442,28,22,0.187853974262613,0.181818181818182
"ordinary",36,1.28571428571429,1.22727272727273,0.809990528391941,0.869143978527871,28,22,0.153073821603063,0.185302118838307
"ordinary",49,1.37037037037037,1,1.07946383229924,0,27,22,0.207742911386144,0
"ordinary",50,1.2962962962963,1.18181818181818,0.608580619450185,0.852802865422442,27,22,0.117121394821051,0.181818181818182
"ordinary",51,1.25,1.09090909090909,0.645497224367903,0.29424494316825,28,22,0.121987509118567,0.0627332326674867
"ordinary",52,1.55555555555556,1,1.08604197869474,0,27,22,0.209008876250213,0
"ordinary",65,1.18518518518519,1.18181818181818,0.483340701387989,0.501081082343218,27,22,0.0930189613522194,0.106830845707819
"ordinary",66,2.85714285714286,2.13636363636364,1.6491139195267,1.35560404899895,28,22,0.311653236763045,0.289015754341141
"ordinary",67,1.19230769230769,1.40909090909091,0.40191847623425,0.908116360757433,26,22,0.0788226981996892,0.193611058647735
"ordinary",68,1.91666666666667,1.52380952380952,1.50120724365618,1.24976188208185,24,21,0.306432645427302,0.272720401205264
"ordinary",81,1.66666666666667,1.68181818181818,1.38675049056307,1.39339816332534,27,22,0.266880256341812,0.297073486589555
"ordinary",82,1.46428571428571,1.09090909090909,1.07089934019281,0.29424494316825,28,22,0.202380952380952,0.0627332326674867
"ordinary",83,1.46428571428571,1.04545454545455,0.922241346139448,0.21320071635561,28,22,0.174287232190458,0.0454545454545455
"ordinary",84,1.22222222222222,1.04545454545455,0.800640769025436,0.21320071635561,27,22,0.154083387840341,0.0454545454545455
"ordinary",97,1.14814814814815,1,0.601517549056852,0,27,22,0.115762106290086,0
"ordinary",98,1.40740740740741,1.63636363636364,1.08341551299083,1.176979772673,27,22,0.208503412689823,0.250932930669947
"ordinary",99,1.14814814814815,1.04545454545455,0.456045181947149,0.21320071635561,27,22,0.0877659361866061,0.0454545454545455
"ordinary",100,1.32142857142857,1.22727272727273,0.862965233777697,0.528413454806725,28,22,0.163085099905036,0.112658127096737
"ordinary",113,1.18518518518519,1.09090909090909,0.483340701387989,0.29424494316825,27,22,0.0930189613522194,0.0627332326674867
"ordinary",114,1.40740740740741,1.31818181818182,1.04731375282964,0.893700900022652,27,22,0.201555625707396,0.190537672092483
"ordinary",115,1.74074074074074,1.13636363636364,0.984205755246823,0.351250086657104,27,22,0.189410485909911,0.0748867700952649
"ordinary",116,1.74074074074074,1.31818181818182,0.984205755246823,0.56790036318955,27,22,0.189410485909911,0.121076764250623
