ResponseId,scenario,answerOrder,morality,normality,probability,question,rationality,time
R_1n0DtBQv5LwRTWE,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,I could sign up for future tours.,Strongly Disagree,10.107
R_1ptjoIFw8Iu1tov,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,check my backpack,Strongly Disagree,7.711
R_1ptjoIFw8Iu1tov,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,put the check ticket in my pocket,Strongly Disagree,13.092
R_1ptjoIFw8Iu1tov,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,pick up a map of the museum,Strongly Disagree,7.667
R_1ptjoIFw8Iu1tov,scenario1,4,Strongly Disagree,Strongly Disagree,Strongly Disagree,look for interesting exhibits,Strongly Disagree,10.857
R_1ptjoIFw8Iu1tov,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,head toward points of interest,Strongly Disagree,8.243
R_1ptjoIFw8Iu1tov,scenario1,6,Strongly Disagree,Strongly Disagree,Strongly Disagree,stay quiet so as to not disturb others,Strongly Disagree,9.834
R_1ptjoIFw8Iu1tov,scenario1,7,Strongly Disagree,Strongly Disagree,Strongly Disagree,admire the exhibits,Strongly Disagree,8.481
R_1ptjoIFw8Iu1tov,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,learn some new information,Strongly Disagree,8.362
R_1rk9AThXrUoDhId,scenario1,1,Strongly Disagree,Strongly Disagree,Disagree,check my backpack,Disagree,8.856
R_1rk9AThXrUoDhId,scenario1,2,Strongly Disagree,Strongly Disagree,Disagree,buy a ticket,Disagree,5.466
R_1rk9AThXrUoDhId,scenario1,3,Disagree,Disagree,Disagree,pick up a brochure,Disagree,7.301
R_1rk9AThXrUoDhId,scenario1,4,Disagree,Disagree,Disagree,look at the map of exhibits,Disagree,16.991
R_1rk9AThXrUoDhId,scenario1,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,explore the museum,Strongly Disagree,12.708
R_1rk9AThXrUoDhId,scenario1,6,Strongly Disagree,Strongly Disagree,Disagree,find the museum cafe,Somewhat Disagree,12.862
R_1rk9AThXrUoDhId,scenario1,7,Disagree,Disagree,Disagree,buy something in the gift shop,Disagree,9.562
R_1rk9AThXrUoDhId,scenario1,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,learn about the things in the museum,Strongly Disagree,9.489
R_21v20zJEEHivjcG,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Look at the exhibits,Strongly Disagree,13.145
R_21v20zJEEHivjcG,scenario1,2,Strongly Disagree,Strongly Disagree,Strongly Disagree,Buy a souvenir. ,Strongly Disagree,18.104
R_21v20zJEEHivjcG,scenario1,3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Buy a snack,Strongly Disagree,5.813
R_21v20zJEEHivjcG,scenario1,4,Strongly Disagree,Strongly Disagree,Disagree,Use the rest room,Disagree,5.37
R_21v20zJEEHivjcG,scenario1,5,Disagree,Strongly Disagree,Strongly Disagree,Buy a bottle of water,Disagree,9.386
R_21v20zJEEHivjcG,scenario1,6,Disagree,Disagree,Somewhat Disagree,Watch a TV show,Disagree,5.632
R_21v20zJEEHivjcG,scenario1,7,Disagree,Strongly Disagree,Disagree,Sit on the chair,Disagree,9.185
R_21v20zJEEHivjcG,scenario1,8,Somewhat Agree,Somewhat Agree,Agree,Read a book.,Agree,9.035
R_22Lo9BlToxIk3Hw,scenario1,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,say no,Strongly Disagree,7.604
